FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;BRANCH;PAJAK_LINE_ID;AKUN_BEBAN;INVOICE_NUMBER;MATA_UANG
FM;01;0;0032148871794;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";1430000;143000;0;1;010;4340276;;;IDR
FM;01;0;0032148871792;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";216500;21650;0;1;010;4340274;;;IDR
FM;01;0;0032148871785;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";324750;32475;0;1;010;4340267;;;IDR
FM;01;0;0032148871756;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";11000;1100;0;1;010;4340238;;;IDR
FM;01;0;0032148871754;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";582500;58250;0;1;010;4340236;;;IDR
FM;01;0;0032148871751;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";277000;27700;0;1;010;4340233;;;IDR
FM;01;0;0032148871750;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";1190750;119075;0;1;010;4340232;;;IDR
FM;01;0;0032148871742;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";1137500;113750;0;1;010;4340224;;;IDR
FM;01;0;0032148871738;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";549500;54950;0;1;010;4340220;;;IDR
FM;01;0;0032148871736;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";582500;58250;0;1;010;4340218;;;IDR
FM;01;0;0032148871735;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";723750;72375;0;1;010;4340217;;;IDR
FM;01;0;0032148871724;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";392500;39250;0;1;010;4340207;;;IDR
FM;01;0;0032148871716;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";582500;58250;0;1;010;4340200;;;IDR
FM;01;0;0032148871712;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";205500;20550;0;1;010;4340197;;;IDR
FM;01;0;0032148871710;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";1130250;113025;0;1;010;4340195;;;IDR
FM;01;0;0032148871707;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";227500;22750;0;1;010;4340193;;;IDR
FM;01;0;0032148871698;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";260500;26050;0;1;010;4340184;;;IDR
FM;01;0;0032148871697;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";227500;22750;0;1;010;4340183;;;IDR
FM;01;0;0032148871690;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";227500;22750;0;1;010;4340176;;;IDR
FM;01;0;0032148871670;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";205500;20550;0;1;010;4340158;;;IDR
FM;01;0;0032148871668;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";308250;30825;0;1;010;4340157;;;IDR
FM;01;0;0032148871657;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";341250;34125;0;1;010;4340146;;;IDR
FM;01;0;0032148871642;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";923750;92375;0;1;010;4340131;;;IDR
FM;01;0;0032148871579;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";513750;51375;0;1;010;4340121;;;IDR
FM;01;0;0032148871578;06;2021;01/01/1970;013166038046000;"AGUNG RAYA, PT";"JL.BANGKA NO.1 TANJUNG PRIOK";205500;20550;0;1;010;4340120;;;IDR
