FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;BRANCH;PAJAK_LINE_ID;AKUN_BEBAN;INVOICE_NUMBER;MATA_UANG
FM;08;0;0042136890119;06;2021;05/05/2021;032081804093000;"PT ENERGI PELABUHAN INDONESIA";"GEDUNG PLN LT.1, JL. YOS SUDARSO NO. 30 , JAKARTA UTARA";759237774;75923782;0;0;010;4340449;;;IDR
FM;03;0;0042122193214;06;2021;08/06/2021;029071834432000;"PT BAGEN PRIMA GUNA";"JL SWADAYA RAYA BLOK A NO 6 RT 010 RW 001 , KOTA BEKASI";331858782;33185878;0;0;010;4336366;;;IDR
FM;08;0;0042136889911;06;2021;05/04/2021;032081804093000;"PT ENERGI PELABUHAN INDONESIA";"GEDUNG PLN LT.1, JL. YOS SUDARSO NO. 30 , JAKARTA UTARA";766067591;76606768;0;0;010;4340448;;;IDR
FM;03;0;0052155179340;06;2021;08/06/2021;766475883005000;"PT ROS PESONA ALAM";"JL. MANUNGGAL PRATAMA NO 8 RT 011 RW 006, CIPINANG MELAYU , JAKARTA TIMUR";300039566;30003956;0;0;010;4336367;;;IDR
FM;03;0;0052155179341;06;2021;08/06/2021;766475883005000;"PT ROS PESONA ALAM";"JL. MANUNGGAL PRATAMA NO 8 RT 011 RW 006, CIPINANG MELAYU , JAKARTA TIMUR";34771313;3477131;0;0;010;4336369;;;IDR
FM;03;0;0042122193215;06;2021;08/06/2021;029071834432000;"PT BAGEN PRIMA GUNA";"JL SWADAYA RAYA BLOK A NO 6 RT 010 RW 001 , KOTA BEKASI";81605453;8160545;0;0;010;4336368;;;IDR
FM;08;0;0042136889710;06;2021;04/03/2021;032081804093000;"PT ENERGI PELABUHAN INDONESIA";"GEDUNG PLN LT.1, JL. YOS SUDARSO NO. 30 , JAKARTA UTARA";640730813;64073089;0;0;010;4340447;;;IDR
